,bitcoin,ethereum,cardano,monero,litecoin,dogecoin,chainlink,ethereum-classic,tether,ripple,neo,eos,tron,compound,c_r_e_a_m_-finance,definer,dydx,nexo,celsius
2018-10-12,6234.3676414544425,192.0010841477226,0.07100321398888647,102.32393207892332,51.302148613797634,0.00505824951422945,0.3091314952075474,9.187471007378518,0.9986056931211404,0.3827658983132607,15.561041360042152,5.111751346392262,0.02108471328559837,1.021092925941807,1.018119462244644,1.007998287100463,1.0190264475137438,1.0273807381703393,1.0203066635411129
2018-10-13,6259.980312127143,194.53455004756935,0.07226911634333757,102.5620647761738,52.518678951253705,0.005167685787686047,0.3112400265705056,9.36399638750573,0.9983592105191186,0.4020222412852566,15.638772639309629,5.157927776892429,0.021999467917246746,1.0212656319247064,1.0182983216464876,1.0080795638921989,1.019277032341231,1.0276997786789743,1.020542454715973
2018-10-14,6278.28133622562,196.70753325981266,0.0727659644192835,103.27925659869356,52.98952782746838,0.0051909065702707554,0.31481158904235423,9.437160293970452,0.9981495694714616,0.40872563671943035,15.738953496336492,5.203898158254622,0.02260390089259447,1.0214356441165244,1.0184781266928251,1.0081605793933694,1.0195178340404443,1.0280189182617328,1.0207783003817819
2018-10-15,6290.8496921778205,196.6103245477631,0.07249418775442386,102.824113654616,52.86256062494164,0.005199324839836289,0.31871967212726654,9.449719111513707,0.9976178663192349,0.4078515900210269,15.749897899364639,5.202797985700791,0.022907215415184316,1.0216030745971585,1.018738696269543,1.0082425616234854,1.0197538119921563,1.028338156949381,1.0210142005511322
2018-10-16,6364.654855424143,199.72887352595586,0.07313812250854769,103.54163276494697,53.42555640174246,0.0052326706658132015,0.32375578907038977,9.542887257646482,0.9952057508069032,0.4168864518764586,15.901271661651114,5.274873926210606,0.023397137156126332,1.0217819626071185,1.0189837106815236,1.0083229881050315,1.0199813846203634,1.028657494772695,1.02125015523662
2018-10-17,6409.733324106259,201.84810902953487,0.07378200816858797,104.25357147172004,53.67932478905255,0.005212142435678606,0.3304913261614724,9.597338744545462,0.9930904621563884,0.4267071295805955,16.02585433936296,5.3138552777837775,0.023609525366609888,1.0219789589706965,1.019218559987855,1.0084007922138787,1.0202027946481131,1.0289769317624597,1.0214861644508435
2018-10-18,6442.02025387507,203.1673353146052,0.07449435899664247,104.84516846864106,53.834579799214794,0.005136971225342371,0.33805718588393885,9.656101144330057,0.9924630851339378,0.4337344181554486,16.168846330923223,5.343696323558328,0.02376065005237778,1.022194300111063,1.0194388010711237,1.0084788565593816,1.0204413851852163,1.0292964679494705,1.0217222282064042
2018-10-19,6482.46931762594,204.92618742625905,0.07517941012431935,105.0209053617583,54.05425955042642,0.005049632996488409,0.34788720458279737,9.72799014231097,0.9908977881713354,0.4449750024306507,16.332430551526176,5.385791435229636,0.024246516614320028,1.0224395804993067,1.0196544525903262,1.0085547740896579,1.0206682328851941,1.0296161033645315,1.0219583465159068
2018-10-20,6510.788572864791,205.91307979528816,0.07559038672907607,105.34798598725233,54.008448797508336,0.004944741397800996,0.3551099720044214,9.748316372401693,0.9904052583206452,0.45017407136023063,16.4658098004255,5.410784861410349,0.024437300597074076,1.0227098545408413,1.019864114012691,1.0086275095420534,1.0208978666297335,1.029935838038457,1.0221945193919584
2018-10-21,6541.902196573538,206.74573679214612,0.07609146137225244,105.28596236492642,54.00791003324904,0.004855800970041612,0.3620661724366184,9.77602488972084,0.9897782661960426,0.45618459303100783,16.59481190093232,5.430766529420729,0.024519136161574716,1.0230005150942292,1.0200669632428576,1.0087118934259727,1.0211241833005045,1.0302556720020704,1.0224307468471692
